,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
177,94,Corse,9,102,327,0,0.0,0.0,30,34584,0.0,0.0,0.0,0.0
178,94,Corse,19,102,327,0,0.0,0.0,30,36310,0.0,0.0,0.0,0.0
179,94,Corse,29,102,327,0,0.0,0.0,30,32754,0.0,0.0,0.0,0.0
180,94,Corse,39,102,327,10,0.02,0.01,30,43975,0.58,0.2,1.7631999999999999,0.6080000000000001
181,94,Corse,49,102,327,14,0.02,0.01,30,46093,0.75,0.26,2.2800000000000002,0.7904
182,94,Corse,59,102,327,98,0.16,0.06,30,47732,5.12,1.82,15.5648,5.5328
183,94,Corse,69,102,327,150,0.25,0.09,30,45158,8.3,2.96,25.232000000000003,8.9984
184,94,Corse,79,102,327,138,0.23,0.08,30,37520,9.2,3.28,27.967999999999996,9.9712
185,94,Corse,89,102,327,33,0.06,0.02,30,20002,4.12,1.5,12.5248,4.5600000000000005
186,94,Corse,90,102,327,0,0.0,0.0,30,5141,0.0,0.0,0.0,0.0
